157 2 14 84
158 2 17 81
159 3 22 75
160 2 28 70
161 0 14 86
162 1 21 78
163 1 15 84
164 0 24 76
165 1 17 82
166 3 22 75
167 1 19 80
168 1 19 80
169 4 20 76
170 6 22 72
171 4 30 66
172 2 25 73
173 5 17 78
174 3 17 80
175 2 15 83
176 0 22 78
177 1 23 76
178 4 23 73
179 3 22 75
180 1 14 85
181 1 21 78
182 1 18 81
183 3 26 71
184 1 17 82
185 1 28 71
186 4 24 72
187 2 27 71
188 2 20 78
189 2 21 77
190 1 18 81
191 2 20 78
192 3 19 78
193 3 22 75
194 3 13 84
195 4 16 80
196 0 15 85
197 1 25 74
198 1 30 69
199 2 19 79
200 3 21 76
201 1 20 79
202 1 11 88
203 1 14 85
204 1 20 79
205 2 26 72
206 5 13 82
207 2 16 82
208 2 17 81
209 3 22 75
210 1 24 75
211 1 17 82
212 0 17 83
213 2 20 78
214 1 23 76
215 0 17 83
216 1 23 76
217 1 19 80
218 2 26 72
219 0 20 80
220 0 15 85
221 2 15 83
222 4 28 68
223 2 14 84
224 1 18 81
225 0 30 70
226 1 14 85
227 2 16 82
228 3 18 79
229 0 22 78
230 0 15 85
231 2 23 75
232 0 21 79
233 4 16 80
234 2 27 71
235 0 28 72
236 2 23 75
237 1 23 76
238 3 17 80
239 2 22 76
240 2 24 74
241 2 17 81
242 4 19 77
243 0 24 76
244 1 19 80
245 2 18 80
246 1 26 73
247 2 24 74
248 3 22 75
249 1 28 71
250 1 16 83
251 2 19 79
252 0 22 78
253 2 20 78
254 1 24 75
255 2 26 72
256 2 19 79
257 5 17 78
258 1 19 80
259 4 19 77
260 0 22 78
261 3 19 78
262 3 19 78
263 0 26 74
264 2 21 77
265 2 16 82
266 1 20 79
267 1 22 77
268 4 17 79
269 3 16 81
270 0 27 73
271 1 17 82
272 1 23 76
273 2 20 78
274 3 15 82
275 2 18 80
276 0 19 81
277 3 19 78
278 4 24 72
279 2 23 75
280 0 18 82
281 1 21 78
282 1 22 77
283 2 23 75
284 4 18 78
285 2 21 77
286 4 17 79
287 3 24 73
288 1 27 72
289 2 18 80
290 1 19 80
291 1 21 78
292 2 23 75
293 3 17 80
294 1 21 78
295 0 24 76
296 2 19 79
297 1 14 85
298 0 22 78
299 1 25 74
300 1 17 82
301 1 21 78
302 2 25 73
303 1 20 79
304 2 16 82
305 1 16 83
306 1 22 77
307 1 20 79
308 1 22 77
309 2 14 84
310 2 25 73
311 1 20 79
312 2 16 82
313 1 18 81
314 1 19 80
315 1 15 84
316 1 18 81
317 2 14 84
318 4 21 75
319 1 19 80
320 2 20 78
321 2 21 77
322 2 21 77
323 1 26 73
324 1 15 84
325 3 22 75
326 2 22 76
327 4 24 72
328 0 15 85
329 1 14 85
330 0 26 74
331 1 15 84
332 0 18 82
333 0 15 85
334 0 18 82
335 2 18 80
336 0 20 80
337 1 18 81
338 0 27 73
339 0 26 74
340 2 18 80
341 2 19 79
342 2 24 74
343 2 23 75
344 1 26 73
345 2 16 82
346 1 25 74
347 1 29 70
348 1 21 78
349 2 20 78
350 2 19 79
351 1 24 75
352 4 21 75
353 0 24 76
354 2 16 82
355 0 21 79
356 3 21 76
357 0 16 84
358 0 19 81
359 1 29 70
360 0 22 78
361 3 26 71
362 1 23 76
363 2 20 78
364 1 28 71
365 3 17 80
366 3 19 78
367 2 22 76
368 2 18 80
369 2 17 81
370 1 19 80
371 3 23 74
372 3 26 71
373 2 19 79
374 0 21 79
375 0 16 84
376 2 20 78
377 3 20 77
378 3 18 79
379 1 24 75
380 2 22 76
381 1 29 70
382 1 18 81
383 3 18 79
384 2 17 81
385 3 27 70
386 1 17 82
387 0 19 81
388 2 17 81
389 2 28 70
390 7 22 71
391 1 14 85
392 1 26 73
393 1 20 79
394 3 16 81
395 1 21 78
396 2 26 72
397 5 17 78
398 2 23 75
399 1 24 75
400 1 20 79
401 3 21 76
402 4 22 74
403 1 19 80
404 1 19 80
405 5 24 71
406 2 17 81
407 3 20 77
408 0 19 81
409 1 20 79
410 0 17 83
411 5 20 75
412 0 22 78
413 4 15 81
414 0 23 77
415 3 21 76
416 3 21 76
417 1 19 80
418 3 26 71
419 0 16 84
420 2 14 84
421 0 19 81
422 3 21 76
423 1 16 83
424 2 12 86
425 2 21 77
426 0 22 78
427 1 17 82
428 0 13 87
429 1 21 78
430 1 19 80
431 2 33 65
432 0 24 76
433 0 25 75
434 2 23 75
435 2 21 77
436 3 16 81
437 0 23 77
438 3 19 78
439 0 17 83
440 0 21 79
441 0 19 81
442 3 20 77
443 0 16 84
444 1 18 81
445 3 22 75
446 4 18 78
447 1 17 82
448 2 21 77
449 3 14 83
450 2 19 79
451 2 23 75
452 2 19 79
453 2 18 80
454 5 19 76
455 1 21 78
456 2 27 71
457 3 20 77
458 2 20 78
459 2 24 74
460 5 24 71
461 2 19 79
462 2 17 81
463 1 31 68
464 0 18 82
465 2 24 74
466 3 19 78
467 3 22 75
468 1 17 82
469 3 21 76
470 1 19 80
471 2 18 80
472 1 24 75
473 3 32 65
474 3 27 70
475 0 15 85
476 5 20 75
477 0 20 80
478 1 27 72
479 0 21 79
480 3 22 75
481 0 17 83
482 1 14 85
483 0 18 82
484 3 26 71
485 2 25 73
486 0 20 80
487 0 19 81
488 1 17 82
489 1 20 79
490 1 17 82
491 2 22 76
492 3 30 67
493 2 27 71
494 0 22 78
495 1 13 86
496 2 22 76
497 0 21 79
498 2 17 81
499 2 18 80
500 4 17 79
501 0 22 78
502 1 19 80
503 2 17 81
504 1 13 86
505 2 19 79
506 1 15 84
507 2 15 83
508 3 14 83
509 1 15 84
510 2 19 79
511 1 18 81
512 2 15 83
513 2 21 77
514 3 20 77
515 1 12 87
516 0 20 80
517 1 18 81
518 0 16 84
519 2 17 81
520 1 20 79
521 2 19 79
522 0 22 78
523 4 13 83
524 1 17 82
525 1 21 78
526 2 15 83
527 0 26 74
528 3 15 82
529 0 24 76
530 2 22 76
531 2 19 79
532 2 15 83
533 4 20 76
534 0 21 79
535 1 17 82
536 1 26 73
537 1 21 78
538 0 17 83
539 0 27 73
540 2 23 75
541 0 27 73
542 2 19 79
543 1 19 80
544 0 22 78
545 1 9 90
546 1 11 88
547 1 22 77
548 2 22 76
549 1 22 77
550 1 25 74
551 1 11 88
552 3 28 69
553 2 17 81
554 2 15 83
555 1 26 73
556 0 18 82
557 1 24 75
558 0 23 77
559 0 20 80
560 1 18 81
561 1 13 86
562 2 21 77
563 1 13 86
564 1 20 79
565 2 17 81
566 2 20 78
567 4 21 75
568 3 15 82
569 3 11 86
570 1 20 79
571 0 15 85
572 2 21 77
573 1 14 85
574 1 23 76
575 0 30 70
576 5 16 79
577 2 17 81
578 3 21 76
579 1 19 80
580 0 19 81
581 2 19 79
582 1 35 64
583 2 30 68
584 0 13 87
585 2 29 69
586 0 21 79
587 2 16 82
588 0 22 78
589 1 28 71
590 1 25 74
591 0 23 77
592 1 24 75
593 2 15 83
594 1 18 81
595 1 23 76
596 1 22 77
597 2 16 82
598 0 21 79
599 2 15 83
600 1 21 78
601 3 22 75
602 2 16 82
603 1 18 81
604 0 27 73
605 0 15 85
606 2 25 73
607 1 22 77
608 1 21 78
609 5 25 70
610 0 27 73
611 2 19 79
612 4 16 80
613 3 24 73
614 0 19 81
615 1 23 76
616 1 18 81
617 1 13 86
618 0 24 76
619 1 30 69
620 2 14 84
621 1 25 74
622 1 19 80
623 0 19 81
624 3 22 75
625 1 16 83
626 3 16 81
627 2 18 80
628 2 18 80
629 2 19 79
630 1 20 79
631 1 18 81
632 1 18 81
633 1 18 81
634 1 12 87
635 1 26 73
636 1 24 75
637 1 26 73
638 5 18 77
639 1 27 72
640 2 16 82
641 2 18 80
642 1 25 74
643 2 22 76
644 0 27 73
645 3 26 71
646 3 26 71
647 1 21 78
648 1 22 77
649 1 23 76
650 2 25 73
651 3 25 72
652 2 17 81
653 1 17 82
654 1 17 82
655 5 28 67
656 3 20 77
657 0 20 80
658 3 19 78
659 1 17 82
660 4 28 68
661 2 18 80
662 1 18 81
663 3 14 83
664 2 21 77
665 2 23 75
666 2 15 83
667 3 23 74
668 2 18 80
669 1 16 83
670 0 16 84
671 1 22 77
672 4 16 80
673 0 13 87
674 5 18 77
675 3 17 80
676 0 25 75
677 4 16 80
678 0 17 83
679 2 15 83
680 1 25 74
681 3 21 76
682 1 17 82
683 2 18 80
684 2 19 79
685 4 22 74
686 4 18 78
687 3 25 72
688 2 24 74
689 2 18 80
690 2 21 77
691 3 14 83
692 5 18 77
693 4 18 78
694 4 21 75
695 2 21 77
696 2 22 76
697 1 19 80
698 1 20 79
699 1 20 79
700 0 20 80
701 2 13 85
702 1 27 72
703 2 19 79
704 4 20 76
705 3 22 75
706 1 19 80
707 3 21 76
708 2 19 79
709 0 22 78
710 1 22 77
711 1 23 76
712 1 26 73
713 1 21 78
714 0 22 78
715 2 20 78
716 3 28 69
717 1 16 83
718 1 18 81
719 1 22 77
720 2 20 78
721 1 25 74
722 1 27 72
723 1 18 81
724 1 16 83
725 2 11 87
726 3 20 77
727 3 20 77
728 3 22 75
729 2 24 74
730 2 19 79
731 0 24 76
732 2 21 77
733 0 21 79
734 2 19 79
735 0 19 81
736 2 18 80
737 3 16 81
738 0 35 65
739 2 15 83
740 0 20 80
741 1 23 76
742 1 21 78
743 0 15 85
744 4 16 80
745 1 20 79
746 2 22 76
747 2 21 77
748 0 30 70
749 3 22 75
750 3 21 76
751 4 17 79
752 2 19 79
753 3 18 79
754 5 18 77
755 3 17 80
756 4 11 85
757 1 32 67
758 2 26 72
759 1 32 67
760 0 19 81
761 2 21 77
762 0 17 83
763 2 26 72
764 2 18 80
765 0 20 80
766 1 19 80
767 2 12 86
768 2 21 77
769 4 22 74
770 2 22 76
771 1 29 70
772 3 15 82
773 1 22 77
774 1 26 73
775 1 22 77
776 6 20 74
777 3 20 77
778 0 24 76
779 2 20 78
780 1 16 83
781 1 21 78
782 1 26 73
783 1 23 76
784 3 25 72
785 1 29 70
786 0 24 76
787 0 29 71
788 2 23 75
789 3 19 78
790 2 23 75
791 2 21 77
